#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  172.7500	    25.9900	     2.0293	  3524.5923	   189.1286	  3713.7209	   638.2700	   638.2700	   618.2500	   315.8800	     4.7660	     7.7700	   766.1400	 regenerative cooling, opposite flow	 
  174.3400	    25.0800	     2.1489	  3725.9599	   184.1809	  3910.1408	   641.2700	   641.2700	   620.2000	   315.4000	     4.7660	     8.0300	   766.6300	 regenerative cooling, opposite flow	 
  175.9300	    24.2500	     2.2649	  3921.0835	   178.6631	  4099.7466	   643.9000	   643.9000	   621.8100	   314.9100	     4.7670	     8.2800	   767.1200	 regenerative cooling, opposite flow	 
  177.5100	    23.5400	     2.3708	  4099.7351	   170.7755	  4270.5105	   645.8600	   645.8600	   622.8500	   314.4400	     4.7680	     8.5100	   767.6000	 regenerative cooling, opposite flow	 
  179.1000	    22.9300	     2.4645	  4258.3265	   163.0591	  4421.3857	   647.3100	   647.3100	   623.4800	   313.9600	     4.7690	     8.7200	   768.0800	 regenerative cooling, opposite flow	 
  180.6900	    22.4100	     2.5444	  4393.9796	   155.6520	  4549.6316	   648.2100	   648.2100	   623.6900	   313.5000	     4.7700	     8.9100	   768.5600	 regenerative cooling, opposite flow	 
  182.2700	    21.9800	     2.6088	  4504.5154	   147.0645	  4651.5800	   648.4700	   648.4700	   623.4100	   313.0300	     4.7710	     9.0600	   769.0200	 regenerative cooling, opposite flow	 
  183.8600	    21.6400	     2.6560	  4586.9515	   138.5057	  4725.4571	   648.1400	   648.1400	   622.6800	   312.5700	     4.7720	     9.1900	   769.4900	 regenerative cooling, opposite flow	 
  185.4400	    21.3900	     2.6848	  4639.1919	   131.1156	  4770.3075	   647.2400	   647.2400	   621.5300	   312.1200	     4.7730	     9.2900	   769.9500	 regenerative cooling, opposite flow	 
  187.0300	    21.2100	     2.6949	  4660.7806	   122.6807	  4783.4614	   645.6600	   645.6600	   619.8900	   311.6700	     4.7740	     9.3500	   770.4100	 regenerative cooling, opposite flow	 
  188.6200	    21.1200	     2.6854	  4650.3569	   114.6052	  4764.9621	   643.4500	   643.4500	   617.7800	   311.2200	     4.7760	     9.3900	   770.8600	 regenerative cooling, opposite flow	 
  189.7000	    21.1000	     2.6684	  4625.6320	   109.5359	  4735.1679	   641.6500	   641.6500	   616.1300	   310.9100	     4.7760	     9.3900	   771.1600	 regenerative cooling, opposite flow	 
  192.8700	    21.7400	     2.4091	  4217.7272	    74.0894	  4291.8166	   624.4100	   624.4100	   601.2800	   310.0400	     4.7790	     9.1000	   772.0500	 regenerative cooling, opposite flow	 
  196.0500	    22.9500	     2.1067	  3720.7897	    51.7680	  3772.5578	   609.0100	   609.0100	   588.6700	   309.1800	     4.7810	     8.6200	   772.9000	 regenerative cooling, opposite flow	 
  199.2200	    24.1400	     1.8624	  3313.3831	    40.1364	  3353.5195	   596.0800	   596.0800	   577.9900	   308.3800	     4.7830	     8.1900	   773.6900	 regenerative cooling, opposite flow	 
  202.3900	    25.3100	     1.6706	  2988.7207	    33.0909	  3021.8115	   586.1400	   586.1400	   569.8400	   307.6200	     4.7840	     7.8000	   774.4400	 regenerative cooling, opposite flow	 
  205.5600	    26.4500	     1.5082	  2711.7923	    28.3363	  2740.1286	   577.0800	   577.0800	   562.2900	   306.9100	     4.7860	     7.4600	   775.1500	 regenerative cooling, opposite flow	 
  208.7400	    27.5800	     1.3714	  2476.9467	    24.8371	  2501.7838	   569.0600	   569.0600	   555.5600	   306.2200	     4.7870	     7.1500	   775.8200	 regenerative cooling, opposite flow	 
